irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoName|MinHeyNumber|MinChemClass|PetAssociated|GeoAge|GeoRock|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeForm|DimHeight|DimLength|DimWidth|DimDepth|DimLengthUnit|PhyColour|ConHazard|MulDescription|NumMulFiles
73416|NEWHM : 2002.H4009|Natural Sciences|Earth Sciences|Petrology|1|model||Sopwith 3in. 1841 wooden model (no. I).|||||||||||||||||||||1
73417|NEWHM : 2002.H4010|Natural Sciences|Earth Sciences|Petrology|1|model||Sopwith 3in. 1841 wooden model (no. II).|||||||||||||||||||||1
73418|NEWHM : 2002.H4011|Natural Sciences|Earth Sciences|Petrology|1|model||Sopwith 3in. 1841 wooden model (no. III).|||||||||||||||||||||1
73421|NEWHM : 2002.H4014|Natural Sciences|Earth Sciences|Petrology|1|sopwith model||A wooden geological model (number XII from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|||||||||||||||||||||1
73424|NEWHM : 2004.H107|Natural Sciences|Earth Sciences|Petrology|2|sopwith model||A wooden geological model (number II from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||3
73425|NEWHM : 2004.H108|Natural Sciences|Earth Sciences|Petrology|1|sopwith model||A wooden geological model (number X from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||2
73426|NEWHM : 2004.H109|Natural Sciences|Earth Sciences|Petrology|2|sopwith model||A wooden geological model (number VI from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||2
73427|NEWHM : 2004.H110|Natural Sciences|Earth Sciences|Petrology|1|sopwith model||A wooden geological model (number IX from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||2
73435|NEWHM : 2004.H1961|Natural Sciences|Earth Sciences|Petrology|1|model|Sopwith model no. XII|One of a set of wooden models representing geological strata, made in 1841. This example is model XII, from the 3in. set.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||1
73436|NEWHM : 2004.H1962|Natural Sciences|Earth Sciences|Petrology|4|sopwith model|Sopwith model no. III|A wooden geological model (number III from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||1
73437|NEWHM : 2004.H1963|Natural Sciences|Earth Sciences|Petrology|2|sopwith model||A wooden geological model (number IV from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||1
73438|NEWHM : 2004.H1964|Natural Sciences|Earth Sciences|Petrology|2|sopwith model||A wooden geological model (number V from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||1
73439|NEWHM : 2004.H1965|Natural Sciences|Earth Sciences|Petrology|1|sopwith model||A wooden geological model (number VII from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||1
73440|NEWHM : 2004.H1966|Natural Sciences|Earth Sciences|Petrology|1|sopwith model||A wooden geological model (number VIII from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||3
73441|NEWHM : 2004.H1967|Natural Sciences|Earth Sciences|Petrology|2|sopwith model||A wooden geological model (number XI from the 4 inch set), for illustrating geological rock structures. Made by Thomas Sopwith.|This is one of a set of wooden models made by Thomas Sopwith, the son of a Newcastle cabinet maker, in 1841. Sopwith was a mining engineer who worked in the lead mines on Alston Moor in the North Pennine Orefield. Some of the sequences of layers of rock in these models are based on his observations in these mines. Sopwith designed his models in collaboration with eminent geologists of the day, including De la Beche and Buckland.||||||||||||||||||||2
73555|NEWHM : 1998.H3024|Natural Sciences|Earth Sciences|Petrology|1|rock (metamorphic)||Garnet-bearing Hornfels.||Hornfels & recrystallised impure limestone||||||Young, B.|1996-10-|UK, England, Northumberland (NE England), Barrasford|Barrasford Quarry||||||||||1
73558|NEWHM : 1998.H3087|Natural Sciences|Earth Sciences|Petrology|1|rock (metamorphic)||Marble.||Marble||||||Young, B.|1996-10-|UK, England, Northumberland (NE England), Barrasford|Barrasford Quarry||||||||||1
108614|NEWHM : 1998.H3001|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Sandstone.||Sandstone||||Dinantian & Carboniferous|Redesdale Limestone (above)|Natural Stone Products|1995|UK, England, Northumberland (NE England), East Woodburn|Darney Quarry|||15|15.3|2.1|cm||||1
108618|NEWHM : 1998.H3005|Natural Sciences|Earth Sciences|Petrology|1|rock (?)||Coal||Coal||||Westphalian & Carboniferous|Main Seam (high)|Young, B.|1996-10-|UK, England, Tyne and Wear, Newcastle upon Tyne, Hunter's Moor|Open Cast Coal Site||||||||||1
108620|NEWHM : 1998.H3007|Natural Sciences|Earth Sciences|Petrology|1|rock (igneous)||Volcanic breccia.||Breccia||||Devonian|Cheviot Volcanic Rocks|Young, B.|1997-07-|UK, England, Northumberland (NE England), Cheviot Hills, Makendon and Fullope (between)|Coquet, River (north bank)|||11.5|9.9|5.9|cm||||1
108663|NEWHM : 1998.H3050|Natural Sciences|Earth Sciences|Petrology|1|rock||Sandstone||Sandstone||||Carboniferous (Early)|Fell Sandstone|Young, B.|1997-05-|UK, England, Northumberland (NE England), Rothbury, Cragside|Cragend Quarry||||||||||1
108712|NEWHM : 2000.H816|Natural Sciences|Earth Sciences|Petrology|1|rock (igneous)|Porphyry|Mica-felsite, brick-red, with biotite phenocrysts.||Mica-porphyrite||||Devonian|Cheviot Volcanic Rocks|Waring, J. C.|09/05/1999|UK, England, Northumberland (NE England), Cheviot Hills, Biddlestone (nr.)|Harden Quarry (disused filled-in quarry)|||8.2|4.1|4.2|cm||||1
108717|NEWHM : 2000.H822|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Siltstone (? seatearth).||Seatearth & Siltstone||||Westphalian & Carboniferous (Late)|Middle Coal Measures|Waring, J. C.|25/05/1997|UK, England, Northumberland (NE England), Blyth Valley, Seaton Sluice|Hartley Steps (base of cliff, approx. 150 yards north of)||||||||||1
108720|NEWHM : 2000.H825|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Seatearth with plant rootlets and leaves.||Seatearth & Sandstone||||Westphalian & Carboniferous (Late)|Middle Coal Measures|Waring, J. C.|25/05/1997|UK, England, Tyne and Wear (NE England), St. Mary's Island (nr.)|'Brierdene Dyke' Fault (immediately north west of)||||||||||1
108728|NEWHM : 2000.H833|Natural Sciences|Earth Sciences|Petrology|1|rock (igneous)||Fresh and altered tholeiite dyke rock.||Basalt & Tholeiite||||Tertiary|Tynemouth Dyke|Waring, J. C.|25/05/1997|UK, England, Tyne and Wear (NE England), Tynemouth||||11.1|10.4|4|cm||||1
108732|NEWHM : 2000.H837|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Yellow Sandstone||Sandstone||||Permian|Basal Yellow Sands|Waring, J. C.|25/05/1997|UK, England, Tyne and Wear (NE England), Cullercoats|Cullercoats Harbour (just north of the ninety fathom fault, cliff in centre of)|||7.3|8.1|7.4|cm||||1
116027|NEWHM : 1998.H3010|Natural Sciences|Earth Sciences|Petrology|1|rock (igneous)||Dolerite with quartz-filled amygdales.||Dolerite|||quartz filled amygdales||Whin Sill|Young, B.|1996-10-|UK, England, Northumberland (NE England), Barrasford|Barrasford Quarry||||||||||1
116029|NEWHM : 1998.H3012|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Sedimentary rock||Sandstone||||Carboniferous & Namurian|Sandstone between Four Fathom and Limestone|Young, B.|1996-10-|UK, England, Northumberland (NE England), Kirkharle (south of)|Old Quarry|||11.4|8.2|4.8|cm||||1
116030|NEWHM : 1998.H3013|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Sedimentary rock||Limestone||||Carboniferous & Dinantian|Oxford Limestone|Young, B.|1996-10-|UK, England, Northumberland (NE England), Hexham|Barrasford Quarry||||||||||1
116031|NEWHM : 1998.H3014|Natural Sciences|Earth Sciences|Petrology|1|rock (?)||Clay ironstone nodule.||Siderite Mudstone||||Carboniferous & Dinantian|Sholes Three Yard Limestone (above)|Young, B.|1996-10-|UK, England, Northumberland (NE England), Twice Brewed, Brackies Burn|Old Ironstone Working|||10.3|6.4|5.3|cm||||1
116032|NEWHM : 1998.H3015|Natural Sciences|Earth Sciences|Petrology|1|rock (?)||Shale.||Mudstone||||Carboniferous & Dinantian|Sholes Three Yard Limestone (above)|Young, B.|1996-10-|UK, England, Northumberland (NE England), Twice Brewed, Brackies Burn|Old Ironstone Working||||||||||1
116034|NEWHM : 1998.H3017|Natural Sciences|Earth Sciences|Petrology|1|rock (?)||Septarian clay with ironstone nodule.||Siderite Mudstone||||Carboniferous & Dinantian|Sholes Three yard limestone (above)|Young, B.|1996-10-|UK, England, Northumberland (NE England), Twice Brewed, Brackies Burn|Old Ironstone Workings|||6.9|7.4|5.4|cm||||1
116037|NEWHM : 1998.H3020|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Sedimentary rock||Sandstone||||Carboniferous & Namurian||Young, B.|1996-10-|UK, England, Northumberland (NE England), Hartburn, Meldon Park (in grounds of)|Old Quarry|||12.6|11.9|4.2|cm||||1
116038|NEWHM : 1998.H3021|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Shaly limestone.||Limestone||||Carboniferous & Dinantian|Three Yard Limestone|Young, B.|1996-10-|UK, England, Northumberland (NE England), Twice Brewed, Brackies Burn|||||||||||1
116039|NEWHM : 1998.H3022|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Yellow/brown slightly weathered sandstone.||Sandstone||||Carboniferous & Westphalian|Sandstone above High Main Seam|Young, B.|1996-10-|UK, England, Tyne and Wear, Newcastle upon Tyne, Hunter's Moor|Open Cast Coal Site|||11.9|10.8|5.1|cm||||1
116040|NEWHM : 1998.H3023|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Sedimentary rock||Limestone||||Carboniferous & Dinantian|Four Fathom Limestone|Young, B.|1996-10-|UK, England, Northumberland (NE England), Haydon Bridge, Chesterwood, Honeycrook Burn|Honeybrook Burn|||8.3|7.5|4.2|cm||||1
116047|NEWHM : 1998.H3030|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Sedimentary rock||Sandstone||||Carboniferous (Early)|Cementstone group|Young, B.|1997-06-|UK, England, Northumberland (NE England), Snitter, Silverside (north of)|Old Quarry|||10.6|9|3.8|cm||||1
116048|NEWHM : 1998.H3031|Natural Sciences|Earth Sciences|Petrology|1|rock (?)||Sandstone||Sandstone||||Carboniferous (Early)|Fell Sandstone|||UK, England, Northumberland (NE England), Rothbury (nr.), Simonside|Tossen Hill (summit of)|||11|8.8|4.2|cm||||1
116062|NEWHM : 1998.H3045|Natural Sciences|Earth Sciences|Petrology|1|rock||Sandstone 'White Whin' shale etc. and clasts cemented by baryte, witherite etc., and traces of Harmotome.||Vein Breccia||||||Young, B.|1996-10-|UK, England, Northumberland (NE England), Newbrough, Settlingstones|Settlingstones Mine (dump)|||11.7|9.8|4.9|cm||||1
116065|NEWHM : 1998.H3048|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||'Quartzite', may be 'Carstairs Quartzite' of Dunham(1990), Geology of North Pennine Orefield, vol.1 New.Geol.Surv.||Sandstone||||Carboniferous||Young, B.|1996-10-|UK, England, Northumberland (NE England), Newbrough, Settlingstones|Settlingstones Mine (dump)|||9.6|8.7|3.9|cm||||1
116068|NEWHM : 1998.H3051|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Pale red.||Sandstone|||||Carboniferous (Early)|Young, B.|1997-07-|UK, England, Northumberland (NE England), Harwood Forest, Gunner's Box|Forestry Commission Quarry|||10.6|8.7|4.4|cm||||1
116069|NEWHM : 1998.H3052|Natural Sciences|Earth Sciences|Petrology|1|rock (igneous)||Porphyritic, phenocrysts of plagioclose and pyroxene; amygdale of red and white agate.||Andesite|||erratic boulder|Devonian||Young, B.|1997-07-|UK, England, Northumberland (NE England), Cheviot Hills, Linbriggs|Coquet, River|||7.7|6.3|5|cm||||1
116075|NEWHM : 1998.H3058|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Volcaniclastic sediment.||Laminate||||Devonian||Young, B.|1997-07-|UK, England, Northumberland (NE England), Cheviot Hills, Makendon and Fullhope (between)|Coquet, River (north bank of)|||12.2|8.5|5.4|cm||||1
116076|NEWHM : 1998.H3059|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Showing distinctive brown weathering.||Limestone||||Carboniferous & Namurian|Belsay Dene Limestone|Young, B.|1996-10-|UK, England, Northumberland (NE England), Belsay|not Belsay Dene House (field)|||8.6|8.3|5.9|cm||||1
116080|NEWHM : 1998.H3063|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Prudhamstone sandstone.||Sandstone||||Carboniferous & Dinantian|Four Fathom Limestone (above)|Young, B.|1996-06-|UK, England, Northumberland (NE England), Hexham, Fourstones|Prudhamstone Quarry|||8.8|7.6|3.9|cm||||1
116081|NEWHM : 1998.H3064|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Bearl Sandstone.||Sandstone||||Carboniferous & Westphalian & Coal Measures (Lower)||Young, B.|1996-06-|UK, England, Northumberland (NE England), Ovington, Bearl|Bearl Quarry|||10.9|8|4.7|cm||||1
116082|NEWHM : 1998.H3065|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Showing characteristic brown weathering.||Limestone||||Carboniferous & Namurian|Newton Limestone|Young, B.|1996-10-|UK, England, Northumberland (NE England), Stamfordham, Stob Hill (east north east of)|Old Quarry|||8.9|7.8|6.4|cm||||2
116083|NEWHM : 1998.H3066|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Sedimentary rock||Limestone||||Carboniferous & Namurian|Corbridge Limestone|Young, B.|1996-10-|UK, England, Northumberland (NE England), Stamfordham, Hawkwell|Hawkwell Quarry (disused)|||10.5|8.9|5.6|cm||||1
116091|NEWHM : 1998.H3074|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Sedimentary rock||Sandstone||||Carboniferous & Namurian|(?) Dalton (above) & Limestone|Young, B.|1996-08-|UK, England, Northumberland (NE England), Dalton, Eachwick|Eachwick Quarry|||12.6|10.1|3.9|cm||||1
116092|NEWHM : 1998.H3075|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Sedimentary rock||Limestone||||Carboniferous & Namurian|Dalton Limestone (?)|Young, B.|1996-05-|UK, England, Northumberland (NE England), Belsay|Belsay Burn (north bank of and north north west of Ogle Hill Head Farm)||||||||||1
116094|NEWHM : 1998.H3077|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Sedimentary rock||Limestone||||Carboniferous & Namurian|Molesdon Limestone|Young, B.|1996-09-|UK, England, Northumberland (NE England), Molesdon, Molesdon Wood|Wansbeck, River (north side)|||8.7|6.9|5|cm||||1
116097|NEWHM : 1998.H3080|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||Fine grained hornfelsed calcareous mudstone in Oxford Limestone, about 1.0m above top Whin Sill.||Hornfelsed Mudstone||||Carboniferous & Dinantian|Oxford Limestone|Young, B.|1996-10-|UK, England, Northumberland (NE England), Hexham, Barrasford|Barrasford Quarry|||9.7|7.4|4.4|cm||||1
116099|NEWHM : 1998.H3082|Natural Sciences|Earth Sciences|Petrology|1|rock (igneous)||'Normal' and medium grained dolerite.||Dolerite|||||Whin Sill|Young, B.|1996-10-|UK, England, Northumberland (NE England), Hexham, Barrasford|Barrasford Quarry|||8.6|9.7|4.1|cm||||1
116112|NEWHM : 2004.H87|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)|Cannonball Limestone|Specimen of a pseudofossil, collected from the Concretionary Limestone of Late Permian, Zechstein (Durham Province), EZ2 age.|This piece of Cannonball Limestone looks like a mass of peas. We don't know exactly how cannonball limestone is formed. Some pieces of this rock have strange shapes and can look like fossils, but they are not. The rock is unique to the Sunderland area.|||||Permian (Late) & Zechstein (Durham Province) / 248 - 256 my|Concretionary Limestone||||||||||||||1
116143|NEWHM : 2005.H499|Natural Sciences|Earth Sciences|Petrology|1|rock (sedimentary)||A piece of poorly sorted pebble conglomerate with a sandy matrix and a variety of clast types.||Conglomerate||||Carboniferous & Tournasian (?) / 342 - 362Ma|Roddam Dene Conglomerate|||UK, England, Northumberland (NE England), Wooperton, Roddam Dene||||290|200|100|mm||||5
116569|NEWHM : 2010.H12|Natural Sciences|Earth Sciences|Petrology|1|rock (metamorphic)||Metamorphic rock||Slate||||Ordovician & Arenig|Skiddaw Slate|Lord, R. A.|30/01/1994|UK, England, Co. Durham, Langdon Beck, Pencil Mill||||2.7|9.4|0.9|cm||||1
116791|NEWHM : GR02.23|Natural Sciences|Earth Sciences|Petrology|1|rock (mineral)||Ore||Ore||||||Temperley, Dr Bernard||South Africa, Seluckwe|Selukwe Chromite Mines||||||||||1
116795|NEWHM : GR02.27|Natural Sciences|Earth Sciences|Petrology|1|rock (metamorphic)||Metamorphic rock||Quartzite|||||Footwall Band|Temperley, Dr Bernard||Africa|Central Rand Gold Mine||||||||||1
116796|NEWHM : GR02.28|Natural Sciences|Earth Sciences|Petrology|1|rock (metamorphic)||Quartzite||Quartzite|||Pyrite|||Temperley, Dr Bernard||Africa|Central Rand Gold Mine||||||||||1
116797|NEWHM : GR02.29|Natural Sciences|Earth Sciences|Petrology|1|rock (metamorphic)||Quartzite||Quartzite|||Gold||Main Reef Leader|Temperley, Dr Bernard|||West Rand Mine||||||||||1
